Model,Accuracy,Precision,Recall,F1-score,Time (s)
Naive Bayes,1.0,1.0,1.0,1.0,0.0007641315460205078
SVM,1.0,1.0,1.0,1.0,0.21149039268493652
Random Forest,1.0,1.0,1.0,1.0,0.47628116607666016
AdaBoost,0.9814814814814815,0.9848484848484849,0.9761904761904763,0.9799023830031581,0.06704425811767578
Decision Tree,0.9444444444444444,0.9583333333333334,0.9411027568922306,0.9469135802469135,0.0027990341186523438
Gradient Boosting,0.9074074074074074,0.9227994227994228,0.8968253968253967,0.9038637243515293,0.336078405380249
k-NN,0.7592592592592593,0.754443297786951,0.7506265664160402,0.7498546934030804,1.8305816650390625
