Model,Accuracy,Precision,Recall,F1-score,Time (s)
Decision Tree,1.0,1.0,1.0,1.0,0.0010876655578613281
k-NN,1.0,1.0,1.0,1.0,0.0005860328674316406
Random Forest,1.0,1.0,1.0,1.0,0.09504127502441406
SVM,1.0,1.0,1.0,1.0,0.0008177757263183594
AdaBoost,1.0,1.0,1.0,1.0,0.05985903739929199
Gradient Boosting,1.0,1.0,1.0,1.0,0.21942591667175293
Naive Bayes,0.9777777777777777,0.9761904761904763,0.9743589743589745,0.974320987654321,0.0006349086761474609
